epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1687.11,1.25672,0.76257,1.08788,0.95501,0.91436,0.94004,0.44048,1.82564,0.7571,1.31086,0.00110314,0.00110314,0.00110314
43,1727.22,1.27925,0.79568,1.09748,0.94034,0.90273,0.94955,0.48566,1.69258,0.72628,1.22362,0.00108938,0.00108938,0.00108938
44,1766.73,1.21517,0.71326,1.06488,0.93744,0.94567,0.95947,0.48763,1.70731,0.72641,1.2489,0.00107563,0.00107563,0.00107563
45,1805.92,1.2064,0.7128,1.06709,0.95765,0.903,0.95867,0.47609,1.79003,0.72409,1.29578,0.00106188,0.00106188,0.00106188
46,1845.23,1.21523,0.71674,1.07432,0.96928,0.92644,0.96096,0.47489,1.77174,0.74847,1.31577,0.00104813,0.00104813,0.00104813
47,1885.65,1.2375,0.73828,1.08286,0.931,0.89391,0.92468,0.49506,1.67602,0.73862,1.2571,0.00103437,0.00103437,0.00103437
48,1926.74,1.20578,0.69915,1.09239,0.93942,0.91722,0.93478,0.47294,1.742,0.7942,1.25644,0.00102062,0.00102062,0.00102062
49,1966.17,1.17,0.69791,1.04014,0.96884,0.90148,0.93872,0.47264,1.73708,0.78287,1.3052,0.00100687,0.00100687,0.00100687
50,2005.34,1.18053,0.7049,1.08005,0.94097,0.91977,0.95394,0.50813,1.6778,0.75473,1.24941,0.000993115,0.000993115,0.000993115
51,2044.32,1.17981,0.71786,1.07338,0.95217,0.88133,0.9225,0.47759,1.73812,0.73986,1.2822,0.000979362,0.000979362,0.000979362
52,2083.71,1.16746,0.69089,1.05459,0.96197,0.92791,0.95913,0.51674,1.64691,0.70457,1.22929,0.00096561,0.00096561,0.00096561
53,2122.81,1.14335,0.68191,1.06013,0.96873,0.89369,0.95953,0.50752,1.63649,0.68422,1.25417,0.000951857,0.000951857,0.000951857
54,2162.16,1.16157,0.67488,1.05448,0.9637,0.91427,0.95463,0.47928,1.68351,0.74133,1.25984,0.000938104,0.000938104,0.000938104
55,2202.27,1.12208,0.63577,1.01788,0.96303,0.90497,0.94653,0.49305,1.69269,0.71928,1.25393,0.000924352,0.000924352,0.000924352
56,2243.34,1.16729,0.66819,1.05093,0.93919,0.91469,0.95063,0.52817,1.62466,0.7,1.2229,0.000910599,0.000910599,0.000910599
57,2284.48,1.13114,0.64487,1.03946,0.95644,0.94103,0.96554,0.51871,1.67893,0.67417,1.25274,0.000896846,0.000896846,0.000896846
58,2326.23,1.12112,0.66416,1.04442,0.95697,0.92456,0.95245,0.53,1.60506,0.657,1.18342,0.000883093,0.000883093,0.000883093
59,2365.98,1.10703,0.63558,1.02371,0.94561,0.90532,0.92387,0.51152,1.67985,0.73994,1.212,0.00086934,0.00086934,0.00086934
60,2405.35,1.12001,0.62963,1.02779,0.95028,0.90532,0.943,0.53395,1.63761,0.66505,1.19969,0.000855588,0.000855588,0.000855588
61,2444.52,1.14195,0.64245,1.01892,0.97489,0.91542,0.96643,0.48587,1.74817,0.69881,1.26952,0.000841835,0.000841835,0.000841835
62,2483.67,1.07765,0.62306,1.02376,0.97937,0.9175,0.96742,0.50045,1.66709,0.67053,1.24872,0.000828082,0.000828082,0.000828082
63,2522.63,1.10452,0.62967,1.02499,0.96742,0.94103,0.95094,0.51566,1.63871,0.67238,1.21033,0.000814329,0.000814329,0.000814329
64,2562.11,1.0927,0.61386,1.02663,0.97515,0.92444,0.96248,0.50591,1.67646,0.6581,1.24931,0.000800577,0.000800577,0.000800577
65,2601.23,1.08827,0.60965,1.01888,0.96194,0.94103,0.97972,0.49097,1.79038,0.67348,1.32596,0.000786824,0.000786824,0.000786824
